,0,1,2,3,4,5,6,7
162,,,,,,,,
163,"My grand-ma and your grand-ma were sit-tin' by the fire.  My grand-ma told your grand-ma: ""I'm gon-na set your flag on fire."" Talk-in' 'bout, Hey now ! Hey now ! I-ko, I-ko, un-day Jock-a-mo fee-no ai na-né, jock-a-mo fee na-né Look at my king all dressed in red I-ko, I-ko, un-day.  I bet-cha five dol-lars he'll kill you dead, jock-a-mo fee na-né Talk-in' 'bout, Hey now ! Hey now ! I-ko, I-ko, un-day Jock-a-mo fee-no ai na-né, jock-a-mo fee na-né My flag boy and your flag boy were Sit-tin' by the fire. - My flag boy told Your flag boy: ""I'm gon-na set your flag on fire."" Talk-in' 'bout, Hey now ! Hey now ! I-KO, I-KO, un-day Jock-a-mo fee-no ai na-né, jock-a-mo fee na-né See that guy all dressed in green? I-KO, I-KO, un-day.  He's not a man, he's a lov-in' ma-chine Jock-a mo fee na-né Talk-in' 'bout, hey now! Hey now! I-ko, I-ko, un-day Jock-a-mo fee-no ai na-né, jock-a-mo fee na-né",,,,,,,
164,"I dreamed I was missing You were so scared But no one would listen Cause no one else cared After my dreaming I woke with this fear What am I leaving When I'm done here? So, if you're asking me, I want you to know When my time comes Forget the wrong that I've done Help me leave behind some reasons to be missed And don't resent me And when you're feeling empty Keep me in your memory Leave out all the rest Leave out all the rest Don't be afraid I've taken my beating I've shared what I've made I'm strong on the surface Not all the way through I've never been perfect But neither have you So, if you're asking me, I want you to know When my time comes Forget the wrong that I've done Help me leave behind some reasons to be missed And don't resent me And when you're feeling empty Keep me in your memory Leave out all the rest Leave out all the rest Forgetting All the hurt inside you've learned to hide so well Pretending Someone else can come and save me from myself I can't be who you are When my time comes Forget the wrong that I've done Help me leave behind some reasons to be missed And don't resent me And when you're feeling empty Keep me in your memory Leave out all the rest Leave out all the rest Forgetting All the hurt inside you've learned to hide so well Pretending Someone else can come and save me from myself I can't be who you are I can't be who you are",,,,,,,
165,,,,,,,,
166,,,,,,,,
167,,,,,,,,
168,,,,,,,,
169,,,,,,,,
170,"Intergalactic, planetary, planetary, intergalactic Intergalactic, planetary, planetary, intergalactic Intergalactic, planetary, planetary, intergalactic Intergalactic, planetary, planetary, intergalactic Another dimension, another dimension Another dimension, another dimension Another dimension, another dimension Another dimension, another dimension Another dimension, another dimension Another dimension Well, now, don't you tell me to smile You stick around I'll make it worth your while My number's beyond what you can dial Maybe it's because we're so versatile Style, profile, I said It always brings me back when I hear, ""ooh, child!"" From The Hudson River out to the Nile I run the marathon to the very last mile Well, if you battle me I feel reviled People always sayin' my style is wild You've got gall, you've got guile Step to me I'm a rap-o-phile If you want to battle you're in denial Comin' from Uranus to check my style Go ahead, put my rhymes on trial Cast you off into exile Intergalactic, planetary, planetary, intergalactic Intergalactic, planetary, planetary, intergalactic Jazz and A.W.O.L, that's our team Step inside the party, disrupt the whole scene When it comes to beats, well, I'm a fiend I like my sugar with coffee and cream Well, I gotta keep it going keep it going full steam Too sweet to be sour to nice to be mean Well, on the tough-guy style I'm not too keen Trying to change the world, I'm going to plot and scheme Mario C. likes to keep it clean Gonna shine like a sunbeam Keep on rappin', 'cause that's my dream Thank Moe Dee for 'Sticking to Themes' Now when it comes to envy y'all is green Jealous of the rhyme and the rhyme routine Another dimension, new galaxy Intergalactic, planetary Intergalactic, planetary, planetary, intergalactic Intergalactic, planetary, planetary, intergalactic Intergalactic, planetary, planetary, intergalactic Intergalactic, planetary, planetary, intergalactic We're from the family tree of old school hip-hop Kick off your shoes and relax your socks The rhymes are spread just like a pox 'Cause the music is loud like an electric shock I am known to do the wop Also known for the Flintstone Flop Tammy D gets biz on the crops Beastie Boys known  to let the beat Mmm, drop! Now when I wrote graffiti my name was Slop If my rap's soup, my beats is stock Step from the table when I start to chop I'm a lumberjack DJ Adrock If you try to knock me you'll get mocked I'll stir fry you in my wok Your knees'll start shakin' and your fingers pop Like a pinch on the neck of Mr. Spock Intergalactic, planetary, planetary, intergalactic Intergalactic, planetary, planetary, intergalactic Intergalactic, planetary, planetary, intergalactic Intergalactic, planetary, planetary, intergalactic Another dimension, another dimension Another dimension, another dimension Another dimension, another dimension Another dimension, another dimension Another dimension, another dimension Another dimension, another dimension",,,,,,,
171,"I see your wishes on the wall and that's all right with me I see you run to make a call, hoping that there's someone free Your life and my life they don't touch at all and that's no way to be We've never seemed so far What's real? What is true? I ain't turning my back on you Where're you goin'? Where've you been? Making wishes, watching dreams It might be simple, it might be true, I might be overwhelmed by you You might be empty, the way your eyes just look right through It's such a mess now anyway, wish fulfillment every day I don't believe you, now I can't hear a word you say I see you shaking in the light, reading the headline news The others they're not quite so bright, we want them to choose you I could almost see your face tonight, singing simple rhythm'n'blues You'll always be a star Shake it baby! Come on scream! Just see your face in a magazine Don't doubt it! Leaves Chris sore!  I can't stand it anymore It's my favorite shot of you, you look so pretty your eyes were true I'm still on your side, in spite of everything you do We're only blood on blood on life, you paint me pictures every night  Come wish beside me, don't you know you know what's right",,,,,,,
172,,,,,,,,
173,"She's taking her time making up the reasons To justify all the hurt inside, guess she knows From the smiles and the look in their eyes Everyone's got a theory about the bitter one, they're saying Mama never loved her much and Daddy never keeps in touch That's why she shies away from human affection, but Somewhere in a private place She packs her bags for outer space And now she's waiting for the right kind of pilot to come And she'll say to him (she's saying) I would fly you to the moon and back If you'll be, if you'll be my baby I've got a ticket for a world where we belong So would you be my baby? She can't remember a time when she felt needed If love was red then she was color-blind  All her friends, they've been tried for treason And crimes that were never defined She's saying, love is like a barren place And reaching out for human faith is Is like a journey I just don't have a map for So baby gonna take a dive and push the shift to overdrive Send a signal that she's hanging all her hopes on the stars What a pleasant dream (just saying) I would fly you to the moon and back If you'll be, if you'll be my baby I've got a ticket for a world where we belong So would you be my baby? Mama never loved her much and daddy never keeps in touch That's why she shies away from human affection But somewhere in a private place She packs her bags for outer space And now she's waiting for the right kind of pilot to come And she'll say to him (just saying) I would fly you to the moon and back If you'll be, if you'll be my baby I've got a ticket for a world where we belong So would you be my baby? I would fly you to the moon and back If you'll be, if you'll be my baby I've got a ticket for a world where we belong So would you be my baby?",,,,,,,
174,,,,,,,,
175,,,,,,,,
176,,,,,,,,
177,,,,,,,,
178,"My country, 'tis of thee Sweet land of liberty How come I cannot see my future within your arms Your love it turns me down Into the underground My country bleeding me; I will not stay in your arms Not yet, yet, yet No, not yet, yet, yet No, not yet, yet No, not yet, yet (daoe) Not yet, yet, yet No, not yet, yet, yet No, not yet, yet No, not yet, yet, yet At the Salvation army making us all stand in a line While mommy and daddy make up and try to make up their minds Oh the shame I felt when those histories mention my name If only I could forget, but memory's my favorite thing (?) We cannot have it Well, what am I supposed to say to those others 'So sorry, but you only took half a chance Now it's over and they're walkin' all over you' We cannot have it Well then why is there juice dripping under your chin When they have nothing, why do you have something When they have nothing The worst thing about living a lie Is just wondering when they'll find out I got me, you've got you That's one plus one plus two I never told you what to do And then you put me in some box I've got you, you've got me Like a baby's got (?) I told myself I'd have to check islands If I was gonna get over your shit We cannot have it Well then what do you want me to say to those others Oh yes, there's a place for you But that place is underneath the cushion of my behind We cannot have it Well then why did you say so With my eyes open, how can I be happy With my eyes open If nothing of this is ours, How will I ever know when something's mine My country, tis of thee Sweet land of liberty How come I cannot see it My country, tis of thee Sweet land of liberty, yeah My country, tis of thee Sweet land of liberty How come I cannot see a future within your arms The worst thing about living a lie Is just wondering when they'll find out",,,,,,,
179,,,,,,,,
180,,,,,,,,
181,,,,,,,,
182,,,,,,,,
183,,,,,,,,
184,Nothing came today  Nothing will tomorrow  No one took the system  'Cause the world was out of bounds  Action is a strategy  There's just no getting 'round  But I would never lose my head tonight  I would never lose my head tonight  'Cause when it's all coming back  Kick-start the motor  Circle the track  Over and over  Don't plan at all  'Cause making it up is so natural  We don't know for sure  But this is the law  We'll never come back here tonight  Running out of luck  Running out of money  Running for the subway  Isn't gonna make it girl  Won't start revolutions  But we're giving it a whirl  But I would never lose my head tonight  I would never lose my head tonight  'Cause when it's all coming back  Kick-start the motor  Circle the track  Over and over  Don't plan at all  'Cause making it up is so natural  We don't know for sure  But this is the law  We'll never come back here tonight  'Cause when it's all coming back  Kick-start the motor  Circle the track  Over and over  All coming back  Kick-start the motor  Circle the track  I'll never come back here tonight  No I would never lose my head tonight  I would never lose my head tonight,,,,,,,
185,,,,,,,,
186,"Fat lady shakin', backbone breakin' come on (This girl of mine) Everything she's got is movin' and hot, come on (This girl of mine) I was just a friend but she took me in, just come on (This girl of mine) Everything was right I felt like the light said come on (This girl of mine) You make a blind man walk away from home You say your girlfriend you wanna be alone It makes an old man throw away his cane Girl what yo booty doing, I just can't explain Listen, You don't call her fat but that girl is stacked eh' come on (She's got my mind) Everything is wide and she walk with much pride come on (She's got my mind) Top chef and cook with grandmas looks now come on (She's got my mind) There was no way to compare Nothing I could see All I saw was a woman (She's got my mind) Walking up to me Booty woman you turn me a loose  (turn me loose) I need to go home, I cant stand your moves (I cant stand your moves) Just see your high heels are killing me (are killing me) It's like the valentine are shaking me (are shaking me, oh yeah) I'm your lover man and I won't let go (and I wont let go) I wanna stay with you, you can lock the door (you can lock the door) Move your soul back to me (back to me) I'm gonna squeeze it darling endlessly  (endlessly) Booty woman you turn me loose (yes turn me loose) I need to go home, I cant stand your moves (I cant stand your moves) Just see your high heels are killing me (are killing me) It's like a valentine keeps shaking me (oh yeah)",,,,,,,
187,,,,,,,,
188,"Who'll ride this dying carousel? Four rusting horses strangled by their own rope What children love a singing wheel Now that their tight hearts it broke That their tight hearts it broke Everyone will come, everyone will come to my funeral To make sure that I stay dead Everyone will come, everyone will come to my funeral To make sure that I stay dead I can see the coffin shining through my tinted window Must've missed the sign that said it was a fire sale I can see the coffin shining through my tinted window Must've missed the sign that said it was a fire sale Everyone will come, everyone will come to my funeral To make sure that I stay dead Everyone will come, everyone will come to my funeral To make sure that I stay dead You can't take this from me (forbidden in Heaven and useless in Hell) You can't take this from me (forbidden in Heaven and useless in Hell) Useless in Hell I can see the coffin shining through my tinted window Must've missed the sign that said it was a fire sale I can see the coffin shining through my tinted window Must've missed the sign that said it was a fire sale Everyone will come, everyone will come to my funeral To make sure that I stay dead Everyone will come, everyone will come to my funeral To make sure that I stay dead You can't take this from me (forbidden in Heaven and useless in Hell) You can't take this from me (forbidden in Heaven and useless in Hell) You can't take this from me (forbidden in Heaven and useless in Hell) You can't take this from me (forbidden in Heaven and useless in Hell) Useless in Hell Who'll ride this dying carousel? Four rusted horses strangled by their own rope What children love a singing wheel Now that their tight hearts it broke That their tight hearts it broke",,,,,,,
189,I'm desperate for changing Starving for truth I'm Closer to where I Started Chasing after you I'm falling even more in love with you Letting go of all I've held onto I'm standing here until you make me move I'm hanging by a moment here with you Forgetting all I'm lacking Completely incomplete I'll take your invitation You take all of me Now I'm falling even more in love with you Letting go of all I've held onto I'm standing here until you make me move I'm hanging by a moment here with you I'm livin' for the only thing I know I'm running here and I'm not quite sure Where to go? And down I know I'd like to be in tune Just hanging by a moment here with you There's nothing else to lose There's nothing left to fly There is nothing in the world that can change my mind There is nothing else There is nothing else There is nothing else I'm desperate for changing Starving for truth I'm closer where I Started I'm Chasing after you I'm falling even more in love with you Letting go of all I've held onto I'm standing here until you make me move I'm hanging by a moment here with you I'm livin' for the only thing I know I'm running here and I'm not quite sure Where to go? And down I know I'd like to be in tune Just hanging by a moment here with you Just hanging by a moment Hanging by a moment Hanging by a moment Hanging by a moment here with you,,,,,,,
190,,,,,,,,
191,,,,,,,,
192,Walking on a dream How can I explain Talking to myself Will I see again We are always running for the thrill of it thrill of it Always pushing up the hill searching for the thrill of it On and on and on we are calling out and out again Never looking down I'm just in awe of what's in front of me Is it real now When two people become one I can feel it When two people become one Thought I'd never see The love you found in me Now it's changing all the time Living in a rhythm where the minutes working overtime We are always running for the thrill of it thrill of it Always pushing up the hill searching for the thrill of it On and on and on we are calling out and out again Never looking down I'm just in awe of what's in front of me Is it real now When two people become one I can feel it When two people become one Is it real now When two people become one I can feel it When two people become one Catch me I'm falling down Catch me I'm falling down Don't stop just keep going on I'm your shoulder lean upon So come on deliver from inside All we got is tonight that is right 'till first light Is it real now When two people become one I can feel it When two people become one Is it real now When two people become one I can feel it When two people become one,,,,,,,
193,,,,,,,,
194,Miracle of miracles Look what the night dragged in It's a pocket full of misery And trouble on the wind You spoiled the best years Of your life You took them all in vain Now you think that you're forgiven But you can't be born again And you say Why? You say why? You say why? Don't ask me why I don't love you anymore I don't think I ever did And if you ever had Any kind of love for me You kept it all so well hid Promises sweet promises You kept them from your mind Like all the lost forgotten things You never seemed to find Like all the disappointments You displayed upon your shelf Now you've got no one to turn to You've got no-one but yourself And you say Why?,,,,,,,
195,"Just gimme the gees an we be clubbin yow. Gal a make wi please and we be thuggin' now. Sippin' Hennesy an we'll be bubblin yow. Set we mind at ease we got to take it slow. So when you see the S.P. floatin' don't provoke him Cause the girls we be poking have to smoking. Best thing fi the recreation a fi get the best girls inna every nation. All Topper girls we promotin and supportin' And dem love how we flow king here them shouting First class ticket invitation girls from New York, England and Jamaican. Everyday we be burnin' not concernin' what nobody wanna say. We be earnin' dollars turning 'cause we mind de pon we pay. Some got gold and oil and diamonds - all we got is Mary J. Legalize it, time to recognise it. Girls them a page me waan fi raise me True me write nuff tune and drive them crazy. Well I man a true born Jamaican Ready fi the girls them inna every situation. We a the gal dem pro, them know we flow With the lyrical content that make them dip low and Make the club keep jumpin Turn up the bass make we here when it pumpin. Summertime bounce to the music people choose it Sean da P gal a cruise with... well reputed cause. We a the girls them champion, Have nuff a them like the great king Solomon. Many girls inna wi eye sight sexy dress type Se them ready fi a hype night Just gimme di light An make we blaze it the roof we haffi raise it again Everyday we be burnin' not concernin' what nobody wanna say. We be earnin' dollars turning 'cause we mind de pon we pay. Some got gold and oil and diamonds - all we got is Mary J. Legalize it, time to recognise it. So when you see the S.P. floatin' don't provoke him Cause the girls we be poking have to smoking. Best thing fi the recreation a fi get the best girls inna every nation. All Topper girls we promotin and supportin' And dem love how we flow king here them shouting First class ticket invitation girls from New York, England and Jamaican. Everyday we be burnin' not concernin' what nobody wanna say. We be earnin' dollars turning 'cause we mind de pon we pay. Some got gold and oil and diamonds - all we got is Mary J. Legalize it, time to recognise it. Just gimme the gees an we be clubbin yow. Gal a make wi please and we be thuggin' now. Sippin' Hennesy an we'll be bubblin yow. Set we mind at ease we got to take it slow.",,,,,,,
196,,,,,,,,
197,,,,,,,,
198,,,,,,,,
199,The only girl I've ever loved Was born with roses in her eyes But then they buried her alive One evening 1945 With just her sister at her side And only weeks before the guns All came and rained on everyone Now she's a little boy in Spain Playing pianos filled with flames On empty rings around the sun All sing to say my dream has come But now we must pick up every piece Of the life we used to love Just to keep ourselves At least enough to carry on And now we ride the circus wheel With your dark brother wrapped in white Says it was good to be alive But now he rides a comet's flame And won't be coming back again The Earth looks better from a star That's right above from where you are He didn't mean to make you cry With sparks that ring and bullets fly On empty rings around your heart The world just screams and falls apart But now we must pick up every piece Of the life we used to love Just to keep ourselves At least enough to carry on And here's where your mother sleeps And here is the room where your brothers were born Indentations in the sheets Where their bodies once moved but don't move anymore And it's so sad to see the world agree That they'd rather see their faces fill with flies All when I'd want to keep white roses in their eyes,,,,,,,
200,,,,,,,,
201,,,,,,,,
202,,,,,,,,
203,,"Ay padrita mía Guárdate la poesía Guárdate la alegría pa' ti Dame, dame, dámelo, oh No pido que todos los días sean de sol No pido que todos los viernes sean de fiesta Tampoco te pido que vuelvas rogando perdón Si lloras con los ojos secos Y hablando de ella Ay amor me duele tanto Me duele tanto Que te fueras sin decir a donde Ay amor, fue una tortura perderte Yo sé que no he sido un santo Pero lo puedo arreglar amor No solo de pan vive el hombre Y no de excusas vivo yo Solo de errores se aprende Y hoy se que es tuyo mi corazón Mejor te guardas todo eso A otro perro con ese hueso Y nos decimos adiós Esto es otra vez esto es otra vez no No puedo pedir que el invierno perdone a un rosal No puedo pedir a los olmos que entreguen peras No puedo pedirle lo eterno a un simple mortal Y andar arrojando a los cerdos miles de perlas Ay amor me duele tanto Me duele tanto Que no creas más en mis promesas Ay amor Es una tortura Perderte Yo sé que no he sido un santo Pero lo puedo arreglar amor No solo de pan vive el hombre Y no de excusas vivo yo Solo de errores se aprende Y hoy sé que es tuyo mi corazón Mejor te guardas todo eso A otro perro con ese hueso Y nos decimos adiós No te bajes, no te rajes Oye negrita mira, no te rajes De lunes a viernes tienes mi amor Déjame el sábado a mi que es mejor Oye mi negra no me castigues más Porque allá afuera sin ti no tengo paz Yo solo soy un hombre arrepentido Soy como el ave que vuelve a su nido Yo sé que no he sido un santo Y es que no estoy hecho de cartón No solo de pan vive el hombre Y no de excusas vivo yo Solo de errores se aprende Y hoy sé que es tuyo mi corazón Ay ay ay ay ay Ay, todo lo que he hecho por ti Una tortura perderte Me duele tanto que sea así Sigue llorando perdón Yo, yo no voy A llorar por ti",,,,,,
204,,,,,,,,
205,Bless spirit ditties of no tone.  Inspirations. Unsensations.  Modulate more silence.  You and I may foresee.  We can be history.  Painted on wall that's near.  Ought to.  Montage fragments.  Ditties of no tone.,,,,,,,
206,,,,,,,,
207,Take a bow Pack on powder Wash em out with buzzing lights Pay an au- Dience to care Impress me personality Still intransfixed The electric sheep are dreaming of your face Enjoy you from The chemical Comfort of america Come one come all Into 1984 Ya 3 2 1 Lights! camera! transaction! Quick your time Is almost up Make all forget that they're the moth Edging in  Toward the flame burn into obscurity Still intransfixed The electric sheep are dreamin up your fate We judge you fom  The card castle Comfort of america Come one come all Into 1984 Ya 3 2 1  Lights! camera! yeah! Come one come all Into 1984 Ya 3 2 1  Lights! camera! transaction! Lights! camera! transaction! Oh Come one come all Into 1984 Ya 3 2 1  Lights! camera! transaction! Ho Your foundation  Is canyoning Fault lines should be worn with pride I hate to say it Your so much more Your so much more Endearing with The sound turned off,,,,,,,
208,What I've got you've got to give it to your mama What I've got you've got to give it to your pappa What I've got you've got to give it to your daughter You do a little dance and then you drink a little water What I've got you've got to get it put it in you What I've got you've got to get it put it in you What I've got you've got to get it put it in you Reeling with the feeling don't stop continue Realize I don't want to be a miser Confide with sly you'll be the wiser Young blood is the lovin' upriser How come everybody want to keep it like the kaiser Give it away give it away give it away now Give it away give it away give it away now Give it away give it away give it away now I can't tell if I'm a kingpin or a pauper Greedy little people in a sea of distress Keep your more to receive your less Unimpressed by material excess Love is free love me say hell yes I'm a low brow but I rock a little know how No time for the piggies or the hoosegow Get smart get down with the pow wow Never been a better time than right now Bob Marley poet and a prophet Bob Marley taught me how to off it Bob Marley walkin' like he talk it Goodness me can't you see I'm gonna cough it Give it away give it away give it away now Give it away give it away give it away now Give it away give it away give it away now Lucky me swimmin' in my ability Dancin' down on life with agility Come and drink it up from my fertility Blessed with a bucket of lucky mobility My mom I love her 'cause she love me Long gone are the times when she scrub me Feelin' good my brother gonna hug me Drink my juice young love chug-a-lug me There's a river born to be a giver Keep you warm won't let you shiver His heart is never gonna wither Come on everybody time to deliver Give it away give it away give it away now Give it away give it away give it away now Give it away give it away give it away now What I've got you've got to give it to your mama What I've got you've got to give it to your pappa What I've got you've got to give it to your daughter You do a little dance and then you drink a little water,,,,,,,
209,,,,,,,,
210,,,,,,,,
211,,,,,,,,
212,,,,,,,,
213,,,,,,,,
214,,,,,,,,
215,,,,,,,,
216,,,,,,,,
217,"This is it (What?!) Luchini pourin' from the sky Lets get rich (What?!) The cheeky vines The sugar dimes Cant quit (What?!) Now pop the cork and steam the vega And get lit (What?! What?! What?!) Introducin' phantom of the dark Walk through my heaven with levitation From efficient and these leathers showboatin' with Rugars Flash vines Belafonte vigga Lets get for what it's worth As we confiscate your figgas Cassanova brown levitatin' jiggy in da shiggy's In la hotta Car 54 chasin diamond runners Headin ice bound, where every chilla dime can get Your Harlem buck strut freezin' world hice Hollywood Madame Butterfly let me in your house of pleasure From the knuckle swat shadowboxin' catchin' black-eye blues I play the deef (What?!) Sensations at the Monte Barbie screamin' (Cheeba!) For fillin' pleasures at my castles (Blow the smoke out!) The boss of Vegas substitutes when the Dutch is gone The Lo don't stop give me shouts Its the season sauters Souflers for swervin' no corners We magnets to moolah Livin' wit Charlie's Angels hornets No smilin' were slidin' That gets you caught up in the octa Or deaded for movin' Its just like that as we proceed Saturday night special better take it lightly Ja-Jiyah A happy time quest to the coast of Key Largo wire-ah The chain gang keep your ears out for our years Sippin' fountain root house of bamboo paradise This is it (What?!) Luchini pourin' from the sky Lets get rich (What?!) The cheeky vines The sugar dimes Cant quit (What?!) Now pop the cork and steam the vega And get lit (What?!) This is it (What?!) This is it (What?!) Luchini pourin' from the sky Lets get rich (What?!) The cheeky vines The sugar dimes Cant quit (What?!) Now pop the cork and steam the vega And get lit (What?! What?! What?!) For these feral herds of seas of black cheese that I can't missa Silky Days, satin nights taken flights down We sensation spanish flyin' with the lady Scarface Bottoms up sunshine, Love Potion Number 9 And we headin' from the magic city chessin' this sweet On your orifachiny in London Relaxation in Bora Bora Got notion to bring it... sing it Love up in my function Stonin' robbin' We hiestin' merchandise and gunnin' Love it leave it But bless the war chief or his bison Get it got it The Lo will forever be nicin' Yeah the Sonny Cheeba he be sippin' Armaretta The Geechie Gracious he be sippin' Armaretta We float the tri-state drink in this satin vines This Coolie High jack pack from the sugar shack Then what we do after we sip the Armaretta We start the Harlem River quiver Dig it sweet daddy Sharpen the crimson blade High sierra seranade Anatomy for seduction be this here Jealousy Enter the place with grace Jersey Armaretta the burstin' of clouds It pours, everything seems better Or flats with love we move Only in the mist Its Lo its life And we can't get enough of this This is it (What?!) Luchini pourin' from the sky Lets get rich (What?!) The cheeky vines; the sugar dimes Cant quit (What?!) Now pop the cork and steam the vega And get lit (What?!) This is it (What?!) This is it (What?!) Luchini pourin' from the sky Lets get rich (What?!) The cheeky vines The sugar dimes Cant quit (What?!) Now pop the cork and steam the vega This is it (What?!) Yeah The Sonny Cheeba he be sippin' Armaretta The Geechy Gracious he be sippin' Armaretta The Joe King he be sippin' Armaretta The Chaquita Kid he be sippin' Armaretta We got high stakes for mine Kiwa Armaretta And then my man Ill Will sip Armaretta And then my man Cab in the tray sippin that We slide through the Tri-State with the hi-hat And then I float side-to-side in my Coolie High And then I peep the sunset with this Spanish Fly Yeah And then I float down south with the Boogie Flats And then I slide up in-between a ziggy And all of that gibs",,,,,,,
218,"We can do an album   Or we can do it viral   Spread it like an S-T-D   You got back in high school   I could run for president   Or just run the block   I could be a stoner or, Shit I forgot   I could be in Athlete  I could be in new york cabby   I could be your boyfriend   In the backseat   Pass me a beer   Or a bottle of gin   And shit, I could be your best friend   [Chorus] I ain't gonna take no shit from no one   I ain't gonna take no lip from no one   You ain't gonna try to get me to hold on   It's golden now   But will I slow down   Anything, anything, anything I want   Anything, anything, anything I want   Anything, anything, anything I want   It's golden now,   But will I slow down   I could be your dad,   Actually I probably am   I could drive a Ferrari   Or I could be fixing a trans am   I could write a bad checks I could smoke cigarettes   I could be valedictorian   Havin' no sex   I could smell the roses   Or watch as it decomposes   I could be one of those models who shove coke up their noses   I could live in the streets   Or I could rock in a mansion   I could live on the beach   Or I could die from the dancing   [Chorus] Slow down   Slow down   Slow down   'Cause I can do   Anything, anything, anything   I want   Anything, anything, anything   I want   We will never stop   We will never stop   'Cause I can do anything anything I want   [Chorus: x3]",,,,,,,
219,"Get out my head and into the bed girl Cause you done know, plottin' out the fantasy Hey baby girl and it's you a the key  yo me go so then From you look inna me eye gal I see she you want me When you gonna give it up to me Because you body enticing you makin' me horny When you gonna give it up to me Well if a no today girl then a must be tomorrow When you fulfill my fantasy Because you know I give you lovin' straight like an arrow When you gonna give it up to me So back it up deh, so pack it up yeah Cause I wanna be the man that's really gonna have it up And mack it up andslap it up yeah So what is up yeah you know you got the sinting I Nna me pants a develop and a swell up and Double up yeah so gimme the work yeah Cause if you know gimme the work the blue a erupt yeah So rev it up deh gal gwaan try you luck deh Cause when you stir it up you know me haffi measure up yeah From you look inna me eye gal I see she you want me When you gonna give it up to me Because you body enticing you makin' me horny When you gonna give it up to me Well if a no today girl then a must be tomorrow When you fulfill my fantasy Because you know I give you lovin' straight like an arrow When you gonna give it up to me Hey pretty girl, say me love fi see you walk, You know habla ingles but just listen me when me a talk This ya one yeah from me heart, woman you got me caught You ever inna me thoughts and no left me inna the dark, inna the First place gal that's where you belong, So just let me flip the switch woman I can turn it on and Gimme the passion from dusk till dawn, tell me if you want it fi gwan, my girl From you look inna me eye gal I see she you want me When you gonna give it up to me Because you body enticing you makin' me horny When you gonna give it up to me Well if a no today girl then a must be tomorrow When you fulfill my fantasy Because you know I give you lovin' straight like an arrow When you gonna give it up to me So why can't you see, we ought to be, together girl don't front on me I just wanna be near so don't have no fear And lemme see you bring your body right over here Because you should share it, girl I'll care it, And I'm gonna give you love so clear It gonna make you shine and once you are mine We be rockin' it until the end of time From you look inna me eye gal I see she you want me When you gonna give it up to me Because you body enticing you makin' me horny When you gonna give it up to me Well if a no today girl then a must be tomorrow When you fulfill my fantasy Because you know I give you lovin' straight like an arrow When you gonna give it up to me So back it up deh, so pack it up yeah Cause I wanna be the man that's really gonna have it up And mack it up andslap it up yeah So what is up yeah you know you got the sinting I Nna me pants a develop and a swell up and Double up yeah so gimme the work yeah Cause if you know gimme the work the blue a erupt yeah So rev it up deh gal gwan try you luck deh Cause when you stir it up you know me haffi measure up yeah From you look inna me eye gal I see she you want me When you gonna give it up to me Because you body enticing you makin' me horny When you gonna give it up to me Well if a no today girl then a must be tomorrow When you fulfill my fantasy Because you know I give you lovin' straight like an arrow When you gonna give it up to me",,,,,,,
220,,,,,,,,
221,,,,,,,,
222,It's bugging me Grating me And twisting me around Yeah I'm endlessly Caving in And turning inside out 'Cause I want it now I want it now Give me your heart and your soul And I'm breaking out I'm breaking out Last chance to lose control Yeah it's holding me Morphing me And forcing me to strive To be endlessly Caving in And dreaming I'm alive 'Cause I want it now I want it now Give me your heart and your soul I'm not breaking down I'm breaking out Lace chance to lose control And I want you now I want you now I feel my heart implode And I'm breaking out Escaping now Feeling my faith erode,,,,,,,
223,,,,,,,,
224,,,,,,,,
225,"Put 'em up like this Let me see 'em now, yeah I like that Yeah This is not the end This is not the beginning Just a voice like a riot Rocking every revision But you listen to the tone And the violent rhythm And though the words sound steady Something empty's within 'em We say, ""yeah"" Fists flying up in the air Like we're holding onto something That's invisible there 'Cause we're living at the mercy of The pain and the fear Until we tell it, forget it Let it all disappear Waiting for the end to come Wishing I had strength to stand This is not what I had planned It's out of my control Flying at the speed of light Thoughts were spinning in my head So many things were left unsaid It's hard to let you go I know what it takes to move on (Oh) I know how it feels to lie (Oh) all I wanna do is trade this life for something new Holding on to what I haven't got Sitting in an empty room Trying to forget the past This was never meant to last I wish it wasn't so I know what it takes to move on (Oh) I know how it feels to lie (Oh) all I wanna do is trade this life for something new Holding on to what I haven't got Yeah, yeah What was left when that fire was gone? I thought it felt right but that right was wrong All caught up in the eye of the storm And trying to figure out what it's like moving on And I don't even know what kind of things I've said My mouth kept moving and my mind went dead So, picking up the pieces, now where to begin? The hardest part of ending is starting again All I wanna do is trade this life for something new Holding on to what I haven't got This is not the end This is not the beginning Just a voice like a riot Rocking every revision But you listen to the tone (holding on to what I haven't got) And the violent rhythm Though the words sound steady Something empty's within 'em We say, ""yeah"" With fists flying up in the air Like we're holding onto something That's invisible there 'Cause we're living at the mercy of (holding on to what I haven't got) The pain and the fear Until we get it, forget it Let it all disappear Thank you",,,,,,,
226,,,,,,,,
227,,,,,,,,
